item_code,asset_code,old_code,serial_code,model,brand,entry_date,assignment_date,condition,availability_status,notes
EQ-0511,28471786,98924,SIN.S/N 98924,98924,NORMA,1983-05-24,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0492,28471787,98926,SIN.S/N 98926,P-391,GOSSEN,1983-05-24,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0510,28471788,98927,SIN.S/N 98927,141,GOSSEN,1983-05-24,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0505,28471789,98928,SIN.S/N 98928,142,GOSSEN,1983-05-24,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0506,28471790,98929,SIN.S/N 98929,143,GOSSEN,1983-05-24,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0507,28471791,98930,SIN.S/N 98930,A-240,GOSSEN,1983-05-24,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0508,28471792,98931,SIN.S/N 98931,A-242,GOSSEN,1983-05-24,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0509,28471793,98932,SIN.S/N 98932,A-243,GOSSEN,1983-05-24,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0532,28471794,98933,SIN.S/N 98933,D-141,GOSSEN,1983-05-24,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0533,28471795,98935,SIN.S/N 98935,D-145,GOSSEN,1983-05-24,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0503,28471796,98936,SIN.S/N 98936,D-KP-182,GOSSEN,1983-05-24,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0504,28471797,98937,SIN.S/N 98937,98937,GOSSEN,1983-05-24,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0367,28471799,98949,SIN.S/N 09-52168,ET-3400-A,HEATHKIT,1989-09-01,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0564,28471801,98955,SIN.S/N 205374,HC-5502,HUNG CHUNG,1989-12-19,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0565,28471802,98956,SIN.S/N 205542,HC-5502,HUNG CHUNG,1989-12-19,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0495,28471803,98958,SIN.S/N G01598,HC-G205,HUNG CHUNG,1989-12-19,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0329,28471805,99036,SIN.S/N B042767,TDS-210,TEKTRONIX,1998-04-22,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0433,28472088,102044,SIN.S/N 102044,102044,102044,1989-06-28,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0214,28472089,102045,SIN.S/N 88/49598 Y 88/49599,TEO,MWB,1989-06-28,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0215,28472090,102046,SIN.S/N 88/49600,TEO,PHYWE,1989-06-28,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0452,28472091,102081,SIN.S/N 87140,Z85994/1,ERDUNGSSCHALTER,1989-06-28,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
